ID	dataset	basemean	Malnourishedmean	Well-nourishedmean	baseprev	Malnourishedprev	Well-nourishedprev	basestd	Malnourishedstd	Well-nourishedstd	MWW_pval	MWW_qval
Actinomyces_sp_oral_taxon_181	species	3.474633555071891e-05	4.280814092871579e-05	1.7751178267374126e-05	0.2608695652173913	0.2948717948717949	0.1891891891891892	0.0001256720118693	0.0001471743371356	5.586727937750184e-05	0.0448872630371988	0.725094656393814
Bifidobacterium_adolescentis	species	0.0034191161575924	0.0027944256874339	0.0047360312027914	0.1695652173913043	0.1538461538461538	0.2027027027027027	0.0155715417458548	0.0138545402113831	0.018721133047955	0.6475669981315165	0.987255348608321
Bifidobacterium_bifidum	species	0.0564136581847072	0.0533245816013782	0.0629257655765898	0.9260869565217392	0.9166666666666666	0.945945945945946	0.0576255088006257	0.060098340969166	0.0518140403712591	0.131216980341302	0.725094656393814
Bifidobacterium_breve	species	0.0321093646401964	0.0333655752154105	0.0294611369410966	0.9869565217391304	0.9871794871794872	0.9864864864864864	0.0462093925465391	0.051948487414687	0.0309507664782568	0.5660913459437416	0.987255348608321
Bifidobacterium_kashiwanohense	species	0.0078248966217174	0.0079190518963249	0.0076264071238963	0.6217391304347826	0.5961538461538461	0.6756756756756757	0.0220390726791253	0.0242540038307225	0.0165711247084139	0.4171328777851621	0.9678302197330346
Bifidobacterium_longum	species	0.1602467882348721	0.1662040832531992	0.1476881663043448	0.9956521739130436	0.9935897435897436	1.0	0.1662616776929333	0.1750242882649133	0.146410673922435	0.943346607011539	0.9974611498889222
Bifidobacterium_pseudocatenulatum	species	0.0025440064125303	0.0026670164798777	0.0022846878921762	0.8173913043478261	0.7692307692307693	0.918918918918919	0.0087720103129723	0.0104517006890194	0.0030563110483968	0.1030517338680566	0.725094656393814
Rothia_mucilaginosa	species	9.645677268932877e-05	0.0001310507640063	2.3528899102046e-05	0.408695652173913	0.4679487179487179	0.2837837837837837	0.0003928486111359	0.0004711822666722	6.917765724932219e-05	0.0005599032046149	0.032194434265361
Collinsella_aerofaciens	species	0.0044306652131593	0.0045974833620698	0.0040789945208616	0.7956521739130434	0.7756410256410257	0.8378378378378378	0.0061048487485966	0.0066181818017257	0.0048710743230008	0.8710845073136575	0.9974611498889222
Senegalimassilia_anaerobia	species	0.000116317203441	0.000120452650288	0.0001075992344123	0.3391304347826087	0.358974358974359	0.2972972972972973	0.0004858947316578	0.0005114072423362	0.0004303370928272	0.1695796860816532	0.725094656393814
Eggerthella_lenta	species	0.0004054771975338	0.0003503430498008	0.0005217059414033	0.4391304347826087	0.4294871794871794	0.4594594594594595	0.0009554933150793	0.0007140845734668	0.0013270555081399	0.9873062635428392	0.9974611498889222
Bacteroides_caccae	species	0.0026633344347677	0.0035470842357824	0.0008002943137096	0.1043478260869565	0.0961538461538461	0.1216216216216216	0.0164113920856411	0.0197729155903318	0.0030937016215405	0.9974611498889222	0.9974611498889222
